OID_,id,status,lon,lat,z,requestDate,installDate,roofAccess,notes,name,neighborhood,boroughCode,borough,neighborhoodCode
148,1474,Installed,-73.979995599999995,40.677529200000002,25,1519334183108.000000000000000,1524024000000.000000000000000,true,SXT solo,,Park Slope,3,Brooklyn,179
149,1490,Installed,-73.945981899999992,40.720874500000001,17,1519742319711.000000000000000,1522555200000.000000000000000,true,Kiosk,,Greenpoint,3,Brooklyn,123
150,1491,Installed,-73.923297000000005,40.706310999999999,24,1519759325407.000000000000000,1524196800000.000000000000000,true,,,Bushwick,4,Brooklyn,157
151,1496,Installed,-73.994524200000001,40.711672499999999,25,1519835266589.000000000000000,1520827200000.000000000000000,true,,,Two Bridges,1,Manhattan,146
152,1497,Installed,-73.977155999999994,40.723514999999999,16,1519847763989.000000000000000,1519966800000.000000000000000,true,,,East Village,1,Manhattan,127
153,1524,Installed,-73.934449999999998,40.682256000000002,30,1520606506531.000000000000000,1524888000000.000000000000000,true,,,Bedford-Stuyvesant,3,Brooklyn,169
154,1533,Installed,-73.913133000000002,40.690503999999997,21,1520916092304.000000000000000,1535169600000.000000000000000,true,Omni,,Bushwick,4,Brooklyn,157
155,1547,Installed,-73.902465899999996,40.704103900000000,39,1521407543749.000000000000000,1592798400000.000000000000000,true,Omni,,Ridgewood,4,Queens,149
156,1567,Installed,-73.986434899999992,40.727819699999998,28,1521987815069.000000000000000,1522814400000.000000000000000,true,Omni,,East Village,1,Manhattan,127
157,1571,Installed,-73.984426200000001,40.715573300000003,93,1522025319405.000000000000000,1648785600000.000000000000000,false,460-12D,,Lower East Side,1,Manhattan,137
158,1580,Installed,-73.955837599999995,40.722794800000003,19,1522176879841.000000000000000,1524628800000.000000000000000,true,,,Williamsburg,4,Brooklyn,145
159,1581,Installed,-73.955837599999995,40.722794800000003,19,1522178101275.000000000000000,1524628800000.000000000000000,true,,,Williamsburg,4,Brooklyn,145
160,1590,Installed,-73.987441000000004,40.730727999999999,30,1522526356784.000000000000000,1522468800000.000000000000000,true,,,East Village,1,Manhattan,127
161,1597,Installed,-73.990325999999996,40.727589999999999,33,1522676214471.000000000000000,1522900800000.000000000000000,true,,,East Village,1,Manhattan,127
162,1598,Installed,-73.905067299999999,40.696278999999997,26,1522682074988.000000000000000,1616817600000.000000000000000,true,Omni,,Ridgewood,4,Queens,149
163,1606,Installed,-73.946429600000002,40.717801000000001,15,1522888897797.000000000000000,1542690000000.000000000000000,true,,,Williamsburg,4,Brooklyn,145
164,1619,Installed,-73.901288899999997,40.695807500000001,31,1523280542262.000000000000000,1611378000000.000000000000000,true,Omni,,Ridgewood,4,Queens,149
165,1625,Installed,-73.998084800000001,40.712316199999997,21,1523474579451.000000000000000,1527048000000.000000000000000,true,,,Civic Center,1,Manhattan,140
166,1627,Installed,-73.984449200000000,40.727450999999988,23,1523647322347.000000000000000,1529294400000.000000000000000,false,,,East Village,1,Manhattan,127
