source,target,status,installDate,fromXYZ,toXYZ,X1,Y1,Z1,X2,Y2,Z2,ORIG_FID,Shape_Length,bearingDegrees,lengthMetersGeodesic,link_ID
1597,699,active,1583211600000,"-73.990326,40.72759,33","-73.990348099999991,40.727572599999988,29",-73.990326,40.72759,33,-73.9903481,40.7275726,29,237,0.00002812774431,231.7855691,2.686884423,230
3300,713,active,1560571200000,"-73.9954983,40.6609636,33","-74.004904299999993,40.6578673,57",-73.9954983,40.6609636,33,-74.0049043,40.6578673,57,52,0.009902520371,251.7793081,866.5680243,52
3284,713,active,1560571200000,"-74.0019949,40.650379,43","-74.004904299999993,40.6578673,57",-74.0019949,40.650379,43,-74.0049043,40.6578673,57,53,0.008033632133,338.7675523,867.1955997,53
2462,713,active,1561089600000,"-74.001461,40.655126,17","-74.004904299999993,40.6578673,57",-74.001461,40.655126,17,-74.0049043,40.6578673,57,55,0.004401254433,308.5242018,421.267282,55
3354,713,active,1561435200000,"-74.00142129999999,40.660917,16","-74.004904299999993,40.6578673,57",-74.0014213,40.660917,16,-74.0049043,40.6578673,57,56,0.004629466394,228.794748,448.8304401,56
12557,713,active,1561521600000,"-74.0092299,40.647376,41","-74.004904299999993,40.6578673,57",-74.0092299,40.647376,41,-74.0049043,40.6578673,57,58,0.0113480479,22.4065267,1221.119157,58
3782,713,active,1566619200000,"-74.00772,40.64798,49","-74.004904299999993,40.6578673,57",-74.00772,40.64798,49,-74.0049043,40.6578673,57,91,0.01028041185,15.89586474,1123.485309,89
3461,713,active,1567569600000,"-73.96444,40.672699,99","-74.004904299999993,40.6578673,57",-73.96444,40.672699,99,-74.0049043,40.6578673,57,94,0.04309685521,249.8701997,3797.403478,92
5171,713,active,1578546000000,"-74.0061278,40.6574,35","-74.004904299999993,40.6578673,57",-74.0061278,40.6574,35,-74.0049043,40.6578673,57,200,0.001309702844,69.09628986,115.7536406,194
4032,713,active,1579410000000,"-74.004018399999993,40.6561109,16","-74.004904299999993,40.6578673,57",-74.0040184,40.6561109,16,-74.0049043,40.6578673,57,208,0.001967170498,333.2343551,208.9378307,202
5300,713,active,1582520400000,"-73.9919902,40.659760299999988,43","-74.004904299999993,40.6578673,57",-73.9919902,40.6597603,43,-74.0049043,40.6578673,57,227,0.01305210435,261.6607471,1112.160771,220
2481,713,active,1587787200000,"-73.9991749,40.657797,18","-74.004904299999993,40.6578673,57",-73.9991749,40.657797,18,-74.0049043,40.6578673,57,255,0.005729831276,270.7029866,484.5912496,248
6087,713,active,1590897600000,"-73.996017,40.660811,16","-74.004904299999993,40.6578673,57",-73.996017,40.660811,16,-74.0049043,40.6578673,57,264,0.009362129618,251.673815,819.5830372,257
2282,713,active,1592107200000,"-73.993805999999992,40.6829933,34","-74.004904299999993,40.6578673,57",-73.993806,40.6829933,34,-74.0049043,40.6578673,57,267,0.02746794757,203.8313258,2943.754265,260
5420,713,active,1592280000000,"-73.9984504,40.6596629,21","-74.004904299999993,40.6578673,57",-73.9984504,40.6596629,21,-74.0049043,40.6578673,57,270,0.006699030122,254.4524027,581.0736893,263
4681,713,active,1595044800000,"-73.997404,40.658479,19","-74.004904299999993,40.6578673,57",-73.997404,40.658479,19,-74.0049043,40.6578673,57,285,0.007525202787,265.3374625,637.9148948,278
6571,713,active,1595908800000,"-73.9889027,40.6616322,54","-74.004904299999993,40.6578673,57",-73.9889027,40.6616322,54,-74.0049043,40.6578673,57,294,0.01643854236,256.7600988,1416.310297,287
6747,713,active,1597032000000,"-74.016733000000016,40.643211,37","-74.004904299999993,40.6578673,57",-74.016733,40.643211,37,-74.0049043,40.6578673,57,297,0.01883415182,38.90605312,1910.440655,290
1635,713,active,1600401600000,"-73.982382,40.667564,51","-74.004904299999993,40.6578673,57",-73.982382,40.667564,51,-74.0049043,40.6578673,57,318,0.02452101122,246.7062982,2187.869633,310
6872,713,active,1600574400000,"-74.013991,40.64486,32","-74.004904299999993,40.6578673,57",-74.013991,40.64486,32,-74.0049043,40.6578673,57,320,0.01586688283,34.93755843,1636.15148,312
11628,713,active,1607835600000,"-74.0123622,40.6537841,17","-74.004904299999993,40.6578673,57",-74.0123622,40.6537841,17,-74.0049043,40.6578673,57,389,0.00850251696,61.29929652,776.7949371,381
5989,713,active,1609045200000,"-73.9970671,40.6611079,29","-74.004904299999993,40.6578673,57",-73.9970671,40.6611079,29,-74.0049043,40.6578673,57,403,0.008480754224,247.5354188,754.1604934,395
7868,713,active,1610946000000,"-74.000705000000011,40.660545,8","-74.004904299999993,40.6578673,57",-74.000705,40.660545,8,-74.0049043,40.6578673,57,420,0.004980381289,237.4762203,463.1735978,412
2701,713,active,1612414800000,"-74.000736,40.647753,58","-74.004904299999993,40.6578673,57",-74.000736,40.647753,58,-74.0049043,40.6578673,57,443,0.01093955161,337.6024872,1177.191386,435
7925,713,active,1613365200000,"-73.999377,40.656464,18","-74.004904299999993,40.6578673,57",-73.999377,40.656464,18,-74.0049043,40.6578673,57,451,0.00570265694,284.2455656,492.7327149,443
7574,713,active,1614229200000,"-74.013073699999993,40.6496897,27","-74.004904299999993,40.6578673,57",-74.0130737,40.6496897,27,-74.0049043,40.6578673,57,462,0.01155907602,44.97125923,1141.057781,454
8372,713,active,1617422400000,"-73.9929544,40.6594525,40","-74.004904299999993,40.6578673,57",-73.9929544,40.6594525,40,-74.0049043,40.6578673,57,498,0.01205458291,262.4436127,1025.792921,489
8077,713,active,1618718400000,"-73.990808,40.6628108,52","-74.004904299999993,40.6578673,57",-73.990808,40.6628108,52,-74.0049043,40.6578673,57,511,0.01493800075,250.6744936,1312.391833,502
1447,713,active,1624334400000,"-73.997281399999991,40.659747,36","-74.004904299999993,40.6578673,57",-73.9972814,40.659747,36,-74.0049043,40.6578673,57,570,0.007851234075,256.1480083,677.6017589,561
11675,713,active,1628740800000,"-73.9949472,40.6621175,31","-74.004904299999993,40.6578673,57",-73.9949472,40.6621175,31,-74.0049043,40.6578673,57,591,0.01082626623,246.8847295,965.2864087,582
10027,713,active,1631937600000,"-73.9991591,40.658624499999988,17","-74.004904299999993,40.6578673,57",-73.9991591,40.6586245,17,-74.0049043,40.6578673,57,638,0.005794883509,262.4918631,493.0839035,629
10072,713,active,1632974400000,"-74.017508499999991,40.6464921,24","-74.004904299999993,40.6578673,57",-74.0175085,40.6464921,24,-74.0049043,40.6578673,57,653,0.01697825178,47.93397472,1652.880793,644
5151,713,active,1633147200000,"-73.980556,40.675448,39","-74.004904299999993,40.6578673,57",-73.980556,40.675448,39,-74.0049043,40.6578673,57,654,0.0300319952,234.1688171,2837.295366,645
10202,713,active,1633665600000,"-74.0002196,40.6620964,11","-74.004904299999993,40.6578673,57",-74.0002196,40.6620964,11,-74.0049043,40.6578673,57,665,0.006311236083,227.9259419,614.4108063,656
